title,description,kind,priority,startsAt,dueAt,estimateHours,assigneeEmail,tagNames
Bersihkan widget duplikat di katalog wall,"Buang 3 widget yang isinya sama persis dengan widget lain (keuangan-kepuasan, keuangan-sdgs, pengaduan-kepuasan). Hapus dari daftar ALL_WIDGET_IDS + DEFAULT_WIDGET_SIZE (wall-layout-utils.ts), hapus definisi & import di widget-registry.tsx, hapus body mati KeuanganKepuasanBody di widgets/keuangan.tsx, dan hapus field satisfaction/sdgs di types/wall.ts. Catatan: KeuanganSdgsBody TETAP karena dipakai widget beranda. Cek dulu pengaduan-kepuasan (mungkin sudah hilang sejak commit 737fc5f).",TASK,HIGH,,,,nicoarya20@gmail.com,
Urutkan widget wall mengikuti urutan menu sidebar,"Sekarang urutan widget di wall beda dengan urutan menu sidebar. Samakan jadi: beranda, divisi, pengaduan, jenna, demografi, keuangan, bumdes, sosial, keamanan, ops. Susun ulang ALL_WIDGET_IDS + WallCategory + DEFAULT_LAYOUT (wall-layout-utils.ts), lalu tambah label kategori baru di widget-gallery.tsx: jenna='Analitik (Jenna)', bumdes='BUMDes', sosial='Sosial'. Galeri otomatis ikut urutan array, jadi cukup reorder.",TASK,HIGH,,,,nicoarya20@gmail.com,
Pindahkan data Keuangan wall dari database lokal ke Desa API live,"Widget keuangan-apbdes di wall masih ambil dari database lokal (prisma). Ganti ke Desa API. Ekstrak fungsi fetchApbdes dari build-beranda.ts ke file baru loaders/apbdes.ts biar dipakai bareng beranda + keuangan (satu sumber, hindari data bentrok). Edit build-keuangan.ts: buang prisma, pakai loader baru. Samakan bentuk data anggaran ke amount yang dibaca widget.",TASK,HIGH,,,,nicoarya20@gmail.com,
Pindahkan data Demografi wall dari database lokal ke Desa API live,"Widget demografi di wall masih pakai prisma + raw SQL. Ganti semua ke Desa API. stats pakai getDemografiSummary (total penduduk, KK, kemiskinan). age dari distribusiumur, religion dari distribusiagama, occupation dari demografipekerjaan (urut terbesar, ambil 10). gender: coba ambil lakiLaki/perempuan dari summary saat runtime — kalau field-nya tidak ada, hapus widget gender. Buat file transform baru transforms/desa-demografi.ts. Pakai cache key yang sama dengan route demografi.ts.",TASK,HIGH,,,,nicoarya20@gmail.com,
Pindahkan data Keamanan wall dari database lokal ke Desa API live,"Widget keamanan-status masih hitung dari prisma.securityReport. Ganti ke Desa API /api/keamanan/laporanpublik/find-many. Hitung total = jumlah laporan, lalu pecah per status (Baru/Proses/Selesai). Kalau data bukan array, isi 0 semua. Bentuk data {total,baru,diproses,selesai} tidak berubah jadi widget tidak perlu diubah. Buat transform baru transforms/desa-keamanan.ts.",TASK,HIGH,,,,nicoarya20@gmail.com,
Buat widget baru menu Analitik/Jenna di wall (2 widget),"Menu Jenna belum punya widget di wall. Buat 2 widget dari data /api/jenna/analytics. Widget 1 JennaKpiBody: 4 angka penting (interaksi hari ini, jawaban otomatis %, belum ditindak, waktu respon). Widget 2 JennaChartBody: grafik batang interaksi mingguan. Bikin file: build-jenna.ts (builder + cache), transforms/noc-jenna.ts (transform murni), widgets/jenna.tsx (tampilan). Daftarkan di types/wall.ts, wall-snapshot/index.ts, widget-registry.tsx, wall-layout-utils.ts (ukuran wide).",TASK,HIGH,,,,nicoarya20@gmail.com,
Buat widget baru menu BUMDes di wall (2 widget),"Menu BUMDes belum punya widget di wall. Buat 2 widget dari /api/bumdes/kpi + /api/bumdes/top-produk (sumber Desa ekonomi/umkm). Widget 1 BumdesKpiBody: 4 KPI (UMKM aktif, total UMKM, omzet bulanan format Rupiah, kategori terbanyak). Widget 2 BumdesTopProdukBody: grafik batang top 3 produk terjual. Bikin file: build-bumdes.ts, transforms/desa-bumdes.ts, widgets/bumdes.tsx. Daftarkan di types/wall.ts, index.ts, registry, layout-utils (ukuran wide).",TASK,HIGH,,,,nicoarya20@gmail.com,
Buat widget baru menu Sosial di wall (2 widget),"Menu Sosial belum punya widget di wall. Buat 2 widget dari /api/sosial/kesehatan/stats + /api/sosial/pendidikan/stats. Widget 1 SosialKesehatanBody: 4 stat kesehatan (ibu hamil, balita, stunting, imunisasi). Widget 2 SosialPendidikanBody: siswa, lembaga, pengajar. PENTING: jangan ikutkan data Beasiswa karena masih palsu/mock (tunggu task perbaikan Beasiswa). Bikin file: build-sosial.ts, transforms/desa-sosial.ts, widgets/sosial.tsx. Daftarkan di types/wall.ts, index.ts, registry, layout-utils.",TASK,HIGH,,,,nicoarya20@gmail.com,
Perbaiki data Beasiswa yang masih palsu di halaman Sosial,"Di dashboard, komponen beasiswa.tsx menampilkan angka hardcode (45, Rp 1.200.000.000, 2025/2026) — bukan data asli. Cek dulu apakah Desa API punya endpoint beasiswa (pola pendidikan/ringkasan). Kalau ADA: buat proxy /api/sosial/beasiswa/stats dan sambungkan datanya. Kalau TIDAK ADA: ganti angka jadi empty-state (tanda '—'), jangan biarkan angka palsu.",TASK,MEDIUM,,,,nicoarya20@gmail.com,
Perbaiki fallback menyesatkan di halaman Sosial saat API mati,"Saat Desa API mati, halaman Sosial diam-diam menampilkan angka default (87/342/12/8 dan 92/88/86/14) seolah data asli. Ganti fallback ini jadi '—' atau 0 di sosial-page.tsx, sosial/summary-cards.tsx, sosial/health-stats.tsx supaya kegagalan API kelihatan jelas, tidak menipu pembaca.",TASK,MEDIUM,,,,nicoarya20@gmail.com,
Perbaiki trend statis dan tahun hardcode di halaman Keuangan,"Di keuangan-anggaran.tsx, KPI Pemasukan menampilkan trend '+0%' yang ditulis mati (bukan hitungan asli). Hitung beneran selisih realisasi vs periode sebelumnya, ATAU buang badge trend-nya. Juga fallback subtitle tahun '2025' yang hardcode — ganti jadi nilai dinamis atau netral.",TASK,LOW,,,,nicoarya20@gmail.com,
Tulis unit test untuk semua transform data wall,"Buat file test baru __tests__/api/wall-live.test.ts. Test khusus fungsi transform murni (jangan panggil API asli): keuangan apbdes (anggaran jadi amount, array kosong tetap kosong), demografi (age/religion/occupation/gender), keamanan (hitung status title-case, non-array jadi 0), jenna (kpi + chart mingguan), bumdes (kpi + top produk angka), sosial (kesehatan/pendidikan, null jadi 0). Test juga: tiap builder gagal -> slice null tapi snapshot tetap terkirim (bukan error 500), dan auth guard wall-snapshot menolak tanpa key.",TASK,HIGH,,,,nicoarya20@gmail.com,
