title,description,kind,priority,startsAt,dueAt,estimateHours,assigneeEmail,tagNames
Migrasi dashboard.ts /sdgs ke Desa API live,"Ganti prisma.sdgsScore.findMany menjadi desaExternalClient.GET('/api/landingpage/sdgsdesa/findMany') di src/api/dashboard.ts. Map hasil: { title: name, score: jumlah, image: image?.link ?? null }. Bungkus withCache('dashboard:sdgs', TTL.DASHBOARD) dan sediakan fallback ke Prisma bila API gagal agar tidak 500.",TASK,HIGH,,,,nicoarya20@gmail.com,
Migrasi resident.ts /stats ke Desa API live,"Ganti 3x prisma.count menjadi desaExternalClient.GET('/api/kependudukan/dashboard/summary') di src/api/resident.ts. Map: total = data.summary.totalPenduduk, heads = totalKK, poor = totalKemiskinan. Bungkus withCache + fallback Prisma bila API gagal.",TASK,HIGH,,,,nicoarya20@gmail.com,
Migrasi event.ts /today dan / ke Desa API live,"Ganti prisma.event.findMany menjadi desaExternalClient.GET('/api/desa/kegiatandesa/find-many') di src/api/event.ts. Map item: { title: judul, startDate: tanggal, location: lokasi }. Endpoint /today filter tanggal = hari ini di sisi server. Bungkus withCache + fallback Prisma.",TASK,HIGH,,,,nicoarya20@gmail.com,
Migrasi complaint.ts /stats + tandai /service-weekly tetap lokal,"src/api/complaint.ts /stats: pakai desaExternalClient.GET('/api/inovasi/layananonlinedesa/pengaduanmasyarakat/find-many'). total = meta.total; karena API tak track status, set baru = total, diproses = 0, selesai = 0 (jujur, jangan mock). Bungkus withCache + fallback Prisma. /service-weekly: tak ada sumber live (pelayanansuratketerangan hanya katalog jenis surat), tetap Prisma dan dicatat sebagai lokal.",TASK,HIGH,,,,nicoarya20@gmail.com,
Buat route baru /pengaduan untuk pengaduan-layanan-publik,"Buat src/api/pengaduan.ts (atau tambah di noc.ts) yang menyediakan shape { stats, trends[], surat_terbanyak[], pengajuan_terbaru[], musrenbang[] } untuk pengaduan-layanan-publik.tsx. Fetch pengaduanmasyarakat/find-many + jenispengaduan/find-many. stats.total = meta.total; breakdown total/0/0 (tanpa status). trends = groupBy bulan dari createdAt. surat_terbanyak = count per jenisPengaduan.nama. pengajuan_terbaru = map item terbaru (kategori=jenisPengaduan.nama, status='baru', created_at). musrenbang = [] (tak ada sumber). Bungkus withCache, mount di src/api/index.tsx bila file baru.",TASK,HIGH,,,,nicoarya20@gmail.com,
Hapus UI chat Jenna dan tangani jenna-analytic,"Hapus blok UI chat di src/components/help-page.tsx dan hentikan pemakaian /api/jenna/chat. Untuk jenna-analytic.tsx yang tak punya sumber data: konfirmasi ke user apakah masih ditampilkan. Bila ya, buat /api/jenna/analytics balas struktur valid nol/kosong (empty-state) agar tidak 404; bila tidak, hapus komponennya.",TASK,MEDIUM,,,,nicoarya20@gmail.com,
Migrasi dashboard.ts /sdgs ke Desa API — proxy raw fetch + withCache,"Ganti prisma.sdgsScore.findMany di src/api/dashboard.ts /sdgs menjadi raw fetch ke DESA_API_URL/api/landingpage/sdgsdesa/findMany (tipe belum ada di generated/desa-external.ts). Map: title=name, score=Number(jumlah), image=baseUrl+image.link (URL absolut). Bungkus withCache('dashboard:sdgs', TTL.DASHBOARD); fn throw saat fetch gagal (anti cache-poisoning []); outer catch return { data: [] } status 500.",TASK,HIGH,,,,nicoarya20@gmail.com,
Migrasi noc.ts /active-divisions ke NOC external proxy,"Ganti prisma.division.findMany di src/api/noc.ts /active-divisions menjadi nocExternalClient.GET('/api/noc/active-divisions'). Buat DIVISION_COLOR_MAP statis per nama divisi (NOC external tidak kirim color) + fallback #6B7280. idDesa: ubah dari t.String() required menjadi t.Optional dengan default getEnv('NOC_VILLAGE_ID','desa1') server-side. Bungkus withCache('dashboard:active-divisions:idDesa', TTL.DASHBOARD); fn throw bila error atau divisi bukan array; outer catch return { data: [] } status 500. /api/division/ tidak disentuh (dipakai division-list.tsx).",TASK,HIGH,,,,nicoarya20@gmail.com,
Migrasi noc.ts /upcoming-events ke NOC external proxy,"Ganti prisma.event.findMany di src/api/noc.ts /upcoming-events menjadi nocExternalClient.GET('/api/noc/upcoming-events'). idDesa: ubah dari t.String() required menjadi t.Optional dengan default getEnv('NOC_VILLAGE_ID','desa1') server-side. Map: id, title, startDate, location ?? null, eventType ?? 'EVENT'. Bungkus withCache('dashboard:upcoming-events:idDesa:filter', TTL.DASHBOARD); fn throw bila error atau upcoming bukan array; outer catch return { data: [] } status 500. Kontrak response internal dipertahankan agar activity-list.tsx dan event-card.tsx tidak berubah.",TASK,HIGH,,,,nicoarya20@gmail.com,
Repoint dashboard-content.tsx Total Penduduk ke /api/demografi/summary,"Ganti apiClient.GET('/api/resident/stats') menjadi apiClient.GET('/api/demografi/summary') di src/components/dashboard-content.tsx. Unwrap nested untyped: summary = (res.data as { data?: { summary?: {...} } })?.data?.summary. Map: residents.total = summary?.totalPenduduk ?? 0, residents.heads = summary?.totalKK ?? 0. Hapus field poor dari interface DashboardStats.residents (tidak ada di demografi/summary). Guard null: semua field fallback ke 0 bila API turun.",TASK,HIGH,,,,nicoarya20@gmail.com,
Repoint division-progress.tsx ke /api/noc/active-divisions,"Ganti apiClient.GET('/api/division/') menjadi apiClient.GET('/api/noc/active-divisions') di src/components/dashboard/division-progress.tsx. Tidak perlu kirim idDesa (server pakai default NOC_VILLAGE_ID). Shape response { data: [{id, name, activityCount, color}] } kompatibel dengan DivisionApiResponse yang sudah ada — map name dan activityCount tidak berubah.",TASK,MEDIUM,,,,nicoarya20@gmail.com,
Update generated/api.ts — idDesa optional di active-divisions & upcoming-events,"Ubah idDesa: string menjadi idDesa?: string pada operasi getApiNocActive-divisions dan getApiNocUpcoming-events di generated/api.ts. Perubahan ini mencerminkan kontrak server baru (idDesa optional dengan default server-side). File akan di-regenerasi otomatis via bun run gen:api setelah server jalan; perubahan manual ini untuk menjaga type check lulus selama development.",TASK,LOW,,,,nicoarya20@gmail.com,
