title,description,kind,priority,startsAt,dueAt,estimateHours,assigneeEmail,tagNames
[config] Pindahkan idDesa dari hardcoded ke env/config,"String desa1 ditulis langsung di 6+ komponen (activity-list kinerja-divisi discussion-panel progress-chart event-card document-chart sinkronisasi). Buat konstanta DESA_ID dari VITE_DESA_ID env var agar ID desa bisa diatur tanpa ubah kode. File: src/components/dashboard/activity-list.tsx:34 src/components/kinerja-divisi/*.tsx",TASK,HIGH,2026-06-04,2026-06-08,6,nicoarya20@gmail.com,
[config] Pindahkan cmk-apbdes-001 ke env/config,"ID APBDes hardcoded di 3 file server-side. Buat DESA_APBDES_ID di .env agar tidak perlu ubah kode saat ganti desa. File: src/api/demografi.ts:402 src/api/noc.ts:625 src/jobs/sync.ts:86",TASK,HIGH,2026-06-04,2026-06-06,3,nicoarya20@gmail.com,
[keamanan] Tambah error state dan retry di keamanan-page,"Halaman Keamanan punya try/catch kosong — jika fetch gagal tidak ada UI error halaman terlihat kosong. Tambah state error seperti di sosial-page: Alert merah dengan tombol Coba Lagi. File: src/components/keamanan-page.tsx:143",TASK,HIGH,2026-06-04,2026-06-06,3,nicoarya20@gmail.com,
[pengaturan] Hapus atau redirect route /pengaturan/sinkronisasi,"Route ini masih aktif dan render SinkronisasiSettings lama setelah fitur dipindah ke /admin/preferences. Bisa membingungkan user biasa. Pilihan: redirect ke /admin/preferences atau hapus route dan komponen lama. File: src/routes/pengaturan/sinkronisasi.tsx src/components/pengaturan/sinkronisasi.tsx",TASK,HIGH,2026-06-04,2026-06-06,2,nicoarya20@gmail.com,
[kinerja-divisi] Tambah useAutoRefresh,"Halaman kinerja-divisi tidak punya auto-refresh padahal ada hook useAutoRefresh dan konfigurasi intervalRefresh dari admin. Data bisa stale jika pengguna membuka halaman lama. File: src/components/kinerja-divisi.tsx",TASK,MEDIUM,2026-06-09,2026-06-11,2,nicoarya20@gmail.com,
[sosial] Tambah useAutoRefresh,"Halaman Sosial sudah punya fetchData callback tapi tidak terhubung ke useAutoRefresh. Tinggal tambah 2 baris. File: src/components/sosial-page.tsx",TASK,MEDIUM,2026-06-09,2026-06-11,1,nicoarya20@gmail.com,
[bumdes] Tambah useAutoRefresh,"fetchStatic sudah ada tapi tidak terhubung ke useAutoRefresh. File: src/components/bumdes-page.tsx",TASK,MEDIUM,2026-06-09,2026-06-11,1,nicoarya20@gmail.com,
[jenna] Tambah useAutoRefresh,"Data analitik Jenna tidak refresh otomatis sesuai preferensi admin yang sudah dikonfigurasi. File: src/components/jenna-analytic.tsx",TASK,MEDIUM,2026-06-09,2026-06-11,1,nicoarya20@gmail.com,
[keamanan] Tambah useAutoRefresh,"Data CCTV dan laporan keamanan tidak refresh otomatis sesuai preferensi admin. File: src/components/keamanan-page.tsx",TASK,MEDIUM,2026-06-09,2026-06-11,1,nicoarya20@gmail.com,
[keuangan] Ganti hardcoded hex color dengan Mantine tokens,"File keuangan-anggaran.tsx punya 30+ warna hardcoded (#1E293B #334155 #22C55E #EF4444 #396aaaff dll). Saat tema gelap/terang berubah warna tidak ikut menyesuaikan. Ganti dengan var(--mantine-color-*) atau color prop Mantine. File: src/components/keuangan-anggaran.tsx",TASK,MEDIUM,2026-06-09,2026-06-15,6,nicoarya20@gmail.com,
[infra] Pindahkan direct fetch DESA_API di browser ke server proxy,"keamanan-page sosial-page dan bumdes-page memanggil DESA_API langsung dari browser — CORS dependency. Jika header CORS berubah semua halaman ini langsung rusak. Buat proxy endpoint di src/api/ seperti pola yang sudah dipakai di demografi.ts dan sosial.ts. File: src/components/keamanan-page.tsx:147 src/components/sosial-page.tsx:54 src/components/bumdes-page.tsx:85",TASK,MEDIUM,2026-06-09,2026-06-18,12,nicoarya20@gmail.com,
[keamanan] Ganti Leaflet marker icon dari CDN ke local asset,"keamanan-page menggunakan URL unpkg.com untuk icon marker peta Leaflet. Jika CDN tidak tersedia peta tidak punya marker sama sekali. Copy icon ke public/ dan gunakan path lokal. File: src/components/keamanan-page.tsx:55",TASK,MEDIUM,2026-06-09,2026-06-11,2,nicoarya20@gmail.com,
[ux] Tambah tombol Refresh manual di kinerja-divisi sosial dan keamanan,"Ketiga halaman tidak punya tombol refresh manual — user harus reload seluruh halaman untuk dapat data terbaru. Tambah tombol Refresh kecil di header section utama masing-masing halaman. File: src/components/kinerja-divisi.tsx src/components/sosial-page.tsx src/components/keamanan-page.tsx",TASK,LOW,2026-06-16,2026-06-20,3,nicoarya20@gmail.com,
[dashboard] Ganti hardcoded bg color di activity-list dan dashboard cards,"activity-list.tsx baris 61 pakai bg hardcoded (#1E293B / white). Inkonsisten dengan konvensi Paper withBorder tanpa hardcoded bg yang diterapkan di bagian lain dashboard. File: src/components/dashboard/activity-list.tsx:61",TASK,LOW,2026-06-16,2026-06-18,2,nicoarya20@gmail.com,
[infra] Tambah React Error Boundary di root layout,"Jika ada unhandled error di child component seluruh app crash tanpa pesan jelas. Buat ErrorBoundary class component dan wrap di __root.tsx sehingga error terisolasi dan user melihat fallback UI bukan halaman kosong. File: src/routes/__root.tsx",TASK,LOW,2026-06-16,2026-06-20,5,nicoarya20@gmail.com,
[ux] Tambah document.title dinamis per halaman,"Semua halaman punya title yang sama dari index.html. Tambah useEffect yang set document.title sesuai nama halaman agar tab browser lebih informatif saat user buka banyak tab. File: src/routes/*.tsx",TASK,LOW,2026-06-16,2026-06-18,2,nicoarya20@gmail.com,
[ux] Normalisasi loading state — pilih antara Loader atau Skeleton,"Beberapa halaman pakai Loader (spinner) dan beberapa pakai Skeleton secara tidak konsisten. Standarkan: Skeleton untuk konten yang sudah diketahui strukturnya (kartu tabel) dan Loader hanya untuk halaman yang belum load sama sekali. File: src/components/*",TASK,LOW,2026-06-16,2026-06-22,4,nicoarya20@gmail.com,
[keuangan] Export PDF untuk halaman Keuangan dan Anggaran,"Halaman kinerja-divisi sudah punya export PDF. Halaman keuangan-anggaran belum. Gunakan buildPdfReport yang sudah ada di src/utils/pdf-table.ts untuk export data APBDes dan realisasi anggaran dalam format tabel. File: src/components/keuangan-anggaran.tsx src/api/noc.ts:248",TASK,LOW,2026-06-23,2026-06-30,7,nicoarya20@gmail.com,
[demografi] Export PDF untuk halaman Demografi Pekerjaan,"Buat endpoint export di src/api/demografi.ts dan tombol Download Laporan di demografi-pekerjaan.tsx untuk download laporan demografi warga menggunakan buildPdfReport yang sudah tersedia. File: src/components/demografi-pekerjaan.tsx src/api/demografi.ts",TASK,LOW,2026-06-23,2026-06-30,7,nicoarya20@gmail.com,
