title,description,kind,priority,startsAt,dueAt,estimateHours,assigneeEmail,tagNames
Integrasi Jenna AI Chat dengan LLM,"src/api/jenna.ts saat ini hanya mengembalikan STUB_REPLY. Perlu diintegrasikan dengan Claude API (anthropic SDK) agar chat Jenna benar-benar berfungsi. Tambahkan system prompt berisi context data desa agar jawaban relevan. Gunakan streaming response untuk UX yang lebih baik.",TASK,HIGH,2026-05-21,2026-05-28,24,nicoarya20@gmail.com,backend;ai;jenna;chat
Jenna Analytic — ganti hardcoded data ke API,"src/components/jenna-analytic.tsx semua data (chart, insight, statistik) saat ini HARDCODED. Perlu dibuat endpoint API /api/jenna/analytics dan komponen mengambil data nyata dari database atau external API. Data yang perlu di-fetch: tren pertanyaan, kategori topik, tingkat kepuasan.",TASK,HIGH,2026-05-21,2026-05-28,16,nicoarya20@gmail.com,frontend;ai;jenna;analytics
Admin Dashboard — connect ke real API,"Halaman /admin/index menggunakan MOCK DATA hardcoded. Perlu dihubungkan ke endpoint nyata: /api/admin/stats untuk statistik user, /api/admin/user-stats untuk breakdown per role, /api/system/stats untuk CPU/RAM/Disk. Hapus semua mock constants.",TASK,HIGH,2026-05-21,2026-05-23,8,nicoarya20@gmail.com,frontend;admin;dashboard
CRUD Complaint — endpoint POST/PUT dan form UI,"API complaint hanya memiliki GET endpoints. Tambah: POST /api/complaint (body: judul deskripsi kategori pelapor), PUT /api/complaint/:id/status untuk update status, beserta form modal di halaman pengaduan layanan publik dengan validasi.",TASK,HIGH,2026-05-21,2026-05-28,20,nicoarya20@gmail.com,backend;frontend;pengaduan;crud
CRUD Service Letter — form pengajuan surat layanan,"Endpoint service letter hanya stats. Perlu endpoint POST /api/complaint/service-letter (body: jenis surat, nama pemohon, NIK, keperluan), beserta form modal di UI, validasi tipe surat (Keterangan Domisili, Pengantar SKCK, dll).",TASK,HIGH,2026-05-21,2026-05-28,16,nicoarya20@gmail.com,backend;frontend;layanan-publik;crud
CRUD Innovation Ideas — form submit ide inovasi,"API innovation ideas hanya GET. Perlu endpoint POST /api/complaint/innovation-ideas (body: judul, deskripsi, kategori, pengusul), beserta form modal di halaman pengaduan layanan publik. Tambah validasi dan notifikasi submit berhasil.",TASK,MEDIUM,2026-05-21,2026-05-26,8,nicoarya20@gmail.com,backend;frontend;layanan-publik;crud
Upload foto profil — file upload endpoint,"POST /api/profile/update hanya menerima URL string untuk image. Buat endpoint POST /api/profile/upload-image menerima multipart/form-data, simpan ke direktori lokal atau cloud storage, kembalikan URL. Update komponen ProfileEdit untuk gunakan file input dengan preview.",TASK,MEDIUM,2026-05-21,2026-05-26,12,nicoarya20@gmail.com,backend;frontend;profile;upload
Password Change — verifikasi dan perbaikan implementasi,"UbahPasswordModal.tsx ada UI-nya. Verifikasi: authClient.changePassword dari better-auth dipanggil dengan benar, validasi password lama sebelum update, error handling untuk wrong current password, feedback sukses. Test seluruh flow di staging.",TASK,MEDIUM,2026-05-21,2026-05-23,4,nicoarya20@gmail.com,frontend;auth;security;modal
Active Sessions — implementasi revoke dan daftar sesi aktif,"SesiAktifModal.tsx ada UI. Verifikasi: list active sessions dari better-auth berfungsi, tombol Revoke memanggil /api/auth/revoke-session dengan sessionId benar, daftar refresh setelah revoke, tampilkan info device/IP/last-active per sesi.",TASK,MEDIUM,2026-05-21,2026-05-23,6,nicoarya20@gmail.com,frontend;auth;security;sessions
Pagination API — parameter page dan limit di endpoint list,"Beberapa endpoint menggunakan take hardcoded tanpa pagination. Tambah query parameter ?page=&limit= ke: GET /api/complaint/recent, GET /api/activity-log, GET /api/invitation/list, GET /api/division/activities, GET /api/division/discussions. Response harus include total count.",TASK,MEDIUM,2026-05-21,2026-05-26,8,nicoarya20@gmail.com,backend;pagination;api
