title,description,kind,priority,startsAt,dueAt,estimateHours,assigneeEmail,tagNames
Tambah label teks Wall NOC dalam dua bahasa,"Daftarkan teks 'Wall NOC' (Bahasa Indonesia) dan 'NOC Wall' (Bahasa Inggris) ke sistem terjemahan agar tombol pintasan punya nama resmi yang bisa disesuaikan bahasa tampilannya.",TASK,MEDIUM,,,,nicoarya20@gmail.com,
Tambah tombol pintasan Wall NOC di header dashboard,"Tambah ikon tombol di bagian atas dashboard yang membuka halaman Wall NOC di tab baru. Dengan begitu, dashboard utama tetap terbuka di tab sebelumnya — operator bisa memantau keduanya sekaligus. Tombol muncul untuk semua pengguna yang sudah login.",TASK,HIGH,,,,nicoarya20@gmail.com,
Tulis pengujian otomatis untuk tombol Wall NOC,"Buat skrip pengujian yang secara otomatis mengecek: (1) tombol pintasan Wall NOC benar-benar muncul di halaman utama, dan (2) saat diklik, halaman /wall terbuka di tab baru. Pengujian harus lulus semua sebelum fitur dianggap selesai.",TASK,HIGH,,,,nicoarya20@gmail.com,
Perbaiki tampilan kartu SDGs di ponsel,"Ubah tampilan kartu SDGs agar nyaman dilihat di layar ponsel: gambar di atas, judul di tengah, skor di bawah — dua kartu per baris. Sebelumnya tampilannya horizontal dan kurang pas di layar kecil.",TASK,MEDIUM,,,,nicoarya20@gmail.com,
Ratakan posisi skor antar kartu SDGs,"Pastikan angka skor di setiap kartu SDGs selalu rata di bagian bawah kartu, meski ada judul yang pendek dan ada yang panjang. Tanpa ini, skor terlihat 'berenang' di posisi berbeda-beda antar kartu dalam satu baris.",TASK,LOW,,,,nicoarya20@gmail.com,
Pindahkan kode pengolah data NOC ke tempat tersendiri,"Kode yang mengubah data mentah divisi dan kegiatan dari sistem NOC dipindahkan ke folder khusus agar bisa dipakai oleh bagian Wall maupun bagian lain tanpa perlu menyalin ulang. Ini juga membuat kode lebih mudah diuji secara terpisah.",TASK,MEDIUM,,,,nicoarya20@gmail.com,wall
Perbaiki bug data kepuasan yang saling menimpa,"Dua bagian kode menyimpan data kepuasan layanan ke tempat penyimpanan sementara (cache) yang sama, tapi formatnya berbeda — siapa yang jalan duluan akan menimpa hasil yang lain. Diperbaiki dengan memisahkan tempat penyimpanannya agar keduanya tidak bertabrakan.",TASK,HIGH,,,,nicoarya20@gmail.com,wall
Definisikan struktur data Beranda untuk Wall NOC,"Buat cetak biru (tipe data) yang menggambarkan 7 jenis informasi yang akan ditampilkan di bagian Beranda pada Wall NOC: statistik harian, tren surat, kepuasan warga, divisi teraktif, kalender kegiatan, realisasi APBDes, dan skor SDGs.",TASK,MEDIUM,,,,nicoarya20@gmail.com,wall
Buat pengambil data untuk 7 informasi Beranda,"Buat kode yang mengambil 7 jenis data Beranda secara bersamaan dari database dan API eksternal. Jika salah satu sumber data gagal diambil (misalnya API NOC tidak responsif), bagian lain tetap ditampilkan — tidak merusak keseluruhan tampilan Wall.",TASK,HIGH,,,,nicoarya20@gmail.com,wall
Hubungkan data Beranda ke sistem utama Wall NOC,"Sambungkan pengambil data Beranda yang baru ke proses muat data utama Wall NOC, sehingga saat Wall diperbarui setiap 30 detik, data Beranda ikut diperbarui juga.",TASK,LOW,,,,nicoarya20@gmail.com,wall
Daftarkan 7 widget Beranda ke sistem tata letak Wall,"Beritahu sistem Wall bahwa ada 7 widget baru dari grup Beranda. Dengan ini, operator dapat menambahkan, memindahkan, mengubah ukuran, dan menyusun 7 widget tersebut di layar Wall seperti widget-widget yang sudah ada.",TASK,MEDIUM,,,,nicoarya20@gmail.com,wall
Buat tampilan visual untuk 7 widget Beranda,"Buat panel tampilan untuk masing-masing widget Beranda: kartu 4 angka statistik harian, grafik batang tren surat 7 bulan, donut kepuasan warga, daftar divisi teraktif, daftar kegiatan mendatang, progress realisasi APBDes, dan daftar skor SDGs.",TASK,HIGH,,,,nicoarya20@gmail.com,wall
Tampilkan 7 widget Beranda di menu Tambah Widget,"Pastikan 7 widget Beranda muncul di menu 'Tambah Widget' pada halaman Wall NOC, dikelompokkan dalam kategori 'Beranda'. Operator bisa memilih dan memasang widget mana saja yang ingin ditampilkan di layar.",TASK,MEDIUM,,,,nicoarya20@gmail.com,wall
Tambah pemeriksaan otomatis data pribadi di widget Beranda,"Buat pengujian otomatis yang memastikan data yang ditampilkan widget Beranda hanya berisi informasi publik (nama divisi, judul kegiatan, lokasi) — bukan data pribadi warga seperti NIK, email, atau nomor telepon. Mencegah kebocoran data jika ada perubahan kode di masa depan.",TASK,MEDIUM,,,,nicoarya20@gmail.com,wall
